,日期,开盘价,最高价,最低价,收盘价,成交量
0,2006-12-19,8860.000,8958.000,8806.000,8906.000,49070
1,2006-12-20,8944.000,8970.000,8906.0001,8958.0001,25586
2,2006-12-21,8940.000,8948.000,8884.000,8912.000,19414
3,2006-12-22,8904.000,8928.000,8824.000,8924.000,9954
4,2006-12-25,8918.000,9140.000,8912.0001,9098.000,34790
5,2006-12-26,9120.000,9166.000,9062.000,9158.000,37246
6,2006-12-27,9082.000,9126.000,9008.000,9016.000,35680
7,2006-12-28,9000.000,8896.000,8850.000,8856.000,31982
8,2006-12-29,8850.0001,8934.000,8780.000,8898.000,32032
9,2007-01-04,8690.000,8772.000,8530.000,8734.000,34012
10,2007-01-05,8660.000,8804.000,8612.000,8782.000,39672
11,2007-01-08,8806.0001,8838.000,8738.000,8746.000,36112
12,2007-01-09,8726.000,8820.000,8714.000,8776.000,31030
13,2007-01-10,8790.000,8814.000,8740.000,8744.000,30790
14,2007-01-11,8690.0001,8782.0001,8690.0002,8730.000,22192
15,2007-01-12,8720.000,8752.000,8646.000,8670.000,18030
16,2007-01-15,8720.0001,8770.000,8680.000,8696.000,15790
17,2007-01-16,8700.000,8740.0001,8616.000,8626.000,18982
18,2007-01-17,8584.000,8636.000,8472.000,8490.000,24356
19,2007-01-18,8530.0001,8530.0002,8356.000,8376.000,31146
20,2007-01-19,8344.000,8382.000,8254.000,8340.000,46434
21,2007-01-22,8370.000,8386.000,8102.000,8130.000,60500
22,2007-01-23,8060.000,8186.000,8056.000,8162.000,59258
23,2007-01-24,8220.000,8312.000,8180.000,8254.0001,54764
24,2007-01-25,8258.000,8292.000,8214.000,8260.000,34288
25,2007-01-26,8252.000,8290.000,8232.000,8282.000,20720
26,2007-01-29,8306.000,8336.000,8200.000,8214.0001,30214
27,2007-01-30,8170.000,8216.000,8112.000,8184.000,29624
28,2007-01-31,8280.000,8314.000,8238.000,8272.000,28588
29,2007-02-01,8280.0001,8318.000,8266.000,8300.000,25678
30,2007-02-02,8280.0002,8350.000,8198.000,8202.000,40384
31,2007-02-05,8250.000,8268.000,8156.000,8188.000,33256
32,2007-02-06,8180.0001,8248.000,8180.0002,8230.000,23772
33,2007-02-07,8248.0001,8298.000,8224.000,8284.000,26354
34,2007-02-08,8246.000,8294.000,8218.000,8262.000,27676
35,2007-02-09,8300.0001,8380.000,8292.0001,8318.0001,42568
