序号,主力合约,合约名,最新价,合约乘数,保证金率,手续费率,最小价位,沉淀资金,资金流向,买卖一手
53,TA105,PTA2105,3996,5,12.00%,"开平仓￥12.000,平今免",2,57.89亿,6320.36万,2397.6
32,fb2102,纤板2102,1294.5,10,20.00%,4.0000%%,0.5,205.57万,8.20万,2589
59,RM105,菜粕2105,2943,10,10.00%,"开平仓￥6.000,平今免",1,11.23亿,-5857.47万,2943
56,MA105,甲醇2105,2312,10,13.00%,"开平仓￥8.000,平今￥24.000",1,31.00亿,-2.92亿,3005.6
44,rr2103,粳米2103,3673,10,9.00%,"开平仓￥4.000,平今免",1,5069.84万,1.05万,3305.7
14,fu2105,燃油2105,2220,10,15.00%,"开平仓2.0000%%,平今免",1,18.57亿,4708.36万,3330
68,SA105,纯碱2105,1570,20,11.00%,"开平仓￥12.000,平今￥20.000",1,5.45亿,2202.09万,3454
57,FG105,玻璃2105,1737,20,10.00%,￥12.000,1,15.85亿,3772.37万,3474
67,UR105,尿素2105,1934,20,9.00%,￥20.000,1,2.95亿,-154.17万,3481.2
31,cs2105,淀粉2105,3261,10,11.00%,"开平仓￥6.000,平今免",1,5.44亿,-2661.29万,3587.1
16,bu2106,沥青2106,2732,10,14.00%,4.0000%%,2,19.22亿,3602.31万,3824.8
30,c2105,玉米2105,2842,10,14.00%,￥4.800,1,30.67亿,-6411.33万,3978.8
38,m2105,豆粕2105,3553,10,12.00%,"开平仓￥6.000,平今免",1,55.29亿,-4.13亿,4263.6
13,rb2105,螺纹2105,4303,10,10.00%,"开平仓4.0000%%,平今免",1,86.00亿,4902.41万,4303
69,PF105,短纤2105,6650,5,13.00%,￥12.000,2,5.47亿,406.98万,4322.5
25,lu2104,低硫燃料油2104,2892,10,15.00%,￥8.000,1,8.67亿,3335.74万,4338
15,hc2105,热卷2105,4408,10,10.00%,"开平仓4.0000%%,平今免",1,38.07亿,-3731.69万,4408
64,SM105,锰硅2105,7472,5,12.00%,"开平仓￥12.000,平今免",2,6.72亿,1147.12万,4483.2
63,SF105,硅铁2105,7486,5,12.00%,"开平仓￥12.000,平今￥24.000",2,8.53亿,-3450.12万,4491.6
41,v2105,PVC2105,7255,5,14.00%,￥4.000,5,14.58亿,2550.56万,5078.5
48,WH109,强麦2109,2741,20,10.00%,￥20.000,1,1578.82万,-12.10万,5482
28,b2103,豆二2103,4232,10,13.00%,￥4.000,1,1.05亿,156.64万,5501.6
20,wr2105,线材2105,4653,10,12.00%,"开平仓1.6000%%,平今免",1,44.67万,-2112,5583.6
35,jd2105,鸡蛋2105,4447,10,13.00%,6.0000%%,1,10.94亿,2874.30万,5781.1
52,SR105,白糖2105,5345,10,11.00%,￥12.000,1,24.56亿,-1.28亿,5879.5
66,CJ105,红枣2105,10290,5,12.00%,"开平仓￥12.000,平今免",5,1.87亿,59.36万,6174
37,l2105,塑料2105,7760,5,16.00%,￥4.000,5,9.96亿,1092.18万,6208
45,eb2102,苯乙烯2102,7130,5,18.00%,"开仓平今￥24.000,平仓￥12.000",1,2.19亿,-894.14万,6417
40,pp2105,PP2105,8117,5,16.00%,￥4.000,1,12.79亿,1661.05万,6493.6
21,sp2103,纸浆2103,6242,10,11.00%,"开平仓2.0000%%,平今免",2,12.71亿,-1263.03万,6866.2
65,AP105,苹果2105,6249,10,12.00%,"开平仓￥20.000,平今￥80.000",1,39.96亿,460.16万,7498.8
43,eg2105,甘醇2105,4502,10,17.00%,"开平仓￥12.000,平今免",1,11.60亿,7224.93万,7653.4
22,ss2103,不锈钢2103,14260,5,11.00%,"开平仓￥8.000,平今免",5,10.61亿,-688.74万,7843
50,CF105,棉花2105,15155,5,12.00%,"开平仓￥17.200,平今免",5,39.42亿,-7856.78万,9093
27,a2105,豆一2105,5686,10,16.00%,￥8.000,1,5.13亿,-987.35万,9097.6
11,al2103,沪铝2103,14670,5,13.00%,￥12.000,5,15.72亿,4687.41万,9535.5
17,pb2103,沪铅2103,15045,5,13.00%,1.6000%%,5,3.80亿,887.07万,9779.25
42,y2105,豆油2105,7616,10,13.00%,"开平仓￥10.000,平今免",2,36.15亿,559.12万,9900.8
39,p2105,棕榈2105,6620,10,15.00%,￥10.000,2,23.57亿,1686.04万,9930
60,ZC105,郑煤2105,678.4,100,15.00%,"开平仓￥12.000,平今免",0.2,19.17亿,-1.53亿,10176
54,OI105,菜油2105,9786,10,11.00%,￥8.000,1,14.01亿,-304.44万,10764.6
51,CY105,棉纱2105,22025,5,12.00%,"开平仓￥16.000,平今免",5,9426.70万,-55.93万,13215
10,zn2103,沪锌2103,20370,5,13.00%,￥12.000,5,12.97亿,396.94万,13240.5
9,ag2102,沪银2102,5267,15,17.00%,2.0000%%,1,11.63亿,1436.61万,13430.85
46,pg2102,LPG2102,3742,20,18.00%,￥24.000,1,1.66亿,-1209.78万,13471.2
36,jm2105,焦煤2105,1646,60,15.00%,"开仓平今4.8000%%,平仓2.4000%%",0.5,16.75亿,-2.46亿,14814
24,nr2103,20号胶2103,10870,10,14.00%,"开平仓￥12.000,平今免",5,5.45亿,-662.92万,15218
6,TS2103,债二2103,100.435,20000,0.80%,"开平仓￥12.000,平今免",0.005,4.99亿,-162.84万,16069.6
4,TF2103,债五2103,99.875,10000,1.70%,"开平仓￥12.000,平今免",0.005,13.84亿,-405.48万,16978.75
18,ni2103,沪镍2103,134380,1,14.00%,￥24.000,10,41.60亿,1.53亿,18813.2
33,i2105,铁矿2105,1057,100,19.00%,"开仓平今16.0000%%,平仓4.0000%%",0.5,74.51亿,-1.39亿,20083
12,ru2105,橡胶2105,14670,10,14.00%,"开平仓￥12.000,平今免",5,56.42亿,1.04亿,20538
19,sn2103,沪锡2103,158050,1,13.00%,"开平仓￥4.000,平今免",10,7.35亿,-211.48万,20546.5
5,T2103,债十2103,97.96,10000,2.50%,￥12.000,0.005,43.52亿,706.51万,24490
58,RS107,菜籽2107,5769,10,50.00%,￥8.000,1,83.07万,5.05万,28845
26,bc2103,国际铜2103,52470,5,13.00%,"开平仓0.4000%%,平今免",10,4.28亿,1388.31万,34105.5
7,cu2103,沪铜2103,58990,5,13.00%,"开平仓2.0000%%,平今免",10,51.17亿,278.00万,38343.5
34,j2105,焦炭2105,2706,100,15.00%,"开仓平今4.8000%%,平仓2.4000%%",0.5,64.43亿,-10.79亿,40590
8,au2106,沪金2106,388.38,1000,12.00%,"开平仓￥40.000,平今免",0.02,46.69亿,1.11亿,46605.6
23,sc2103,原油2103,341.7,1000,14.00%,"开平仓￥80.000,平今免",0.1,22.43亿,1.06亿,47838
47,lh2109,生猪2109,24800,16,18.00%,"开仓平今16.0000%%,平仓8.0000%%",5,21.46亿,827.42万,71424
2,IH2102,上证2102,3825,300,14.00%,"开平仓1.0000%%,平今13.8000%%",0.2,63.92亿,-9.17亿,160650
3,IC2102,中证2102,6422,200,16.00%,"开平仓1.0000%%,平今13.8000%%",0.2,194.13亿,-17.36亿,205504
1,IF2102,沪深2102,5465.8,300,14.00%,"开平仓1.0000%%,平今13.8000%%",0.2,227.68亿,-28.13亿,229563.6
29,bb2105,胶板2105,-,500,70.00%,4.0000%%,0.05,-,-,#VALUE!
49,PM105,普麦2105,-,50,36.00%,￥20.000,1,-,-,#VALUE!
55,RI105,早稻2105,-,20,36.00%,￥10.000,1,-,-,#VALUE!
61,JR105,粳稻2105,-,20,36.00%,￥12.000,1,-,-,#VALUE!
62,LR105,晚稻2105,-,20,36.00%,￥12.000,1,-,-,#VALUE!
