序号,主力合约,合约名,最新价,合约乘数,保证金率,手续费率,最小价位,沉淀资金,资金流向,买卖一手
32,fb2102,纤板2102,1293.5,10,15.00%,2.0000%%,0.5,208.38万,11.01万,1940.25
53,TA105,PTA2105,4008,5,13.00%,"开平仓￥6.000,平今免",2,58.10亿,8455.86万,2605.2
56,MA105,甲醇2105,2311,10,15.00%,"开平仓￥4.000,平今￥8.000",1,31.12亿,-2.79亿,3466.5
59,RM105,菜粕2105,2938,10,12.00%,"开平仓￥4.500,平今免",1,11.20亿,-6194.90万,3525.6
68,SA105,纯碱2105,1567,20,12.00%,"开平仓￥6.000,平今￥8.000",1,5.46亿,2251.45万,3760.8
14,fu2105,燃油2105,2221,10,17.00%,"开平仓1.0000%%,平今免",1,18.65亿,5570.68万,3775.7
44,rr2103,粳米2103,3672,10,11.00%,￥8.000,1,5068.09万,-6928,4039.2
57,FG105,玻璃2105,1735,20,12.00%,￥6.000,1,15.81亿,3428.54万,4164
31,cs2105,淀粉2105,3269,10,13.00%,"开平仓￥3.500,平今免",1,5.49亿,-2222.08万,4249.7
67,UR105,尿素2105,1935,20,11.00%,￥10.000,1,2.94亿,-238.00万,4257
69,PF105,短纤2105,6670,5,13.00%,￥6.000,2,5.48亿,577.03万,4335.5
30,c2105,玉米2105,2846,10,16.00%,"开平仓￥2.500,平今免",1,30.68亿,-6316.04万,4553.6
16,bu2106,沥青2106,2738,10,17.00%,2.0000%%,2,19.18亿,3152.59万,4654.6
25,lu2104,低硫燃料油2104,2906,10,17.00%,￥6.000,1,8.79亿,4487.00万,4940.2
38,m2105,豆粕2105,3546,10,14.00%,"开平仓￥3.500,平今免",1,55.06亿,-4.37亿,4964.4
64,SM105,锰硅2105,7468,5,14.00%,￥6.000,2,6.71亿,1001.35万,5227.6
63,SF105,硅铁2105,7474,5,15.00%,"开平仓￥6.000,平今￥12.000",2,8.50亿,-3769.40万,5605.5
13,rb2105,螺纹2105,4319,10,13.00%,2.0000%%,1,86.78亿,1.27亿,5614.7
20,wr2105,线材2105,4681,10,12.00%,"开平仓0.9000%%,平今免",1,45.69万,8065.6,5617.2
15,hc2105,热卷2105,4424,10,13.00%,2.0000%%,1,38.39亿,-474.80万,5751.2
41,v2105,PVC2105,7275,5,16.00%,￥4.000,5,14.67亿,3441.32万,5820
28,b2103,豆二2103,4221,10,15.00%,￥2.000,1,1.05亿,119.55万,6331.5
40,pp2105,PP2105,8131,5,16.00%,￥8.000,1,12.84亿,2231.22万,6504.8
37,l2105,塑料2105,7775,5,17.00%,￥4.000,5,9.98亿,1288.16万,6608.75
66,CJ105,红枣2105,10280,5,13.00%,"开平仓￥6.000,平今免",5,1.87亿,54.12万,6682
45,eb2102,苯乙烯2102,7157,5,19.00%,"开仓平今￥17.700,平仓￥12.000",1,2.24亿,-447.92万,6799.15
52,SR105,白糖2105,5344,10,13.00%,"开平仓￥6.000,平今免",1,24.52亿,-1.32亿,6947.2
35,jd2105,鸡蛋2105,4451,10,16.00%,3.0000%%,1,10.93亿,2783.88万,7121.6
48,WH109,强麦2109,2746,20,13.00%,￥7.500,1,1581.70万,-9.22万,7139.6
21,sp2103,纸浆2103,6234,10,12.00%,"开平仓1.0000%%,平今免",2,12.70亿,-1362.26万,7480.8
43,eg2105,甘醇2105,4489,10,18.00%,"开平仓￥7.000,平今免",1,11.67亿,7969.59万,8080.2
22,ss2103,不锈钢2103,14275,5,12.00%,"开平仓￥12.000,平今免",5,10.59亿,-844.41万,8565
65,AP105,苹果2105,6206,10,14.00%,"开平仓￥25.000,平今￥40.000",1,39.93亿,167.92万,8688.4
27,a2105,豆一2105,5685,10,18.00%,￥4.000,1,5.13亿,-1032.19万,10233
11,al2103,沪铝2103,14660,5,14.00%,"开平仓￥6.500,平今免",5,15.77亿,5200.08万,10262
17,pb2103,沪铅2103,15040,5,14.00%,"开平仓0.9000%%,平今免",5,3.80亿,868.11万,10528
50,CF105,棉花2105,15170,5,14.00%,"开平仓￥9.000,平今免",5,39.47亿,-7336.88万,10619
42,y2105,豆油2105,7616,10,14.00%,"开平仓￥5.000,平今免",2,36.19亿,957.44万,10662.4
39,p2105,棕榈2105,6618,10,17.00%,￥5.000,2,23.53亿,1252.83万,11250.6
54,OI105,菜油2105,9794,10,12.00%,"开平仓￥4.000,平今免",1,13.86亿,-1819.65万,11752.8
60,ZC105,郑煤2105,682,100,18.00%,￥7.700,0.2,18.98亿,-1.72亿,12276
58,RS107,菜籽2107,5869,10,23.00%,￥4.000,1,77.47万,-5544,13498.7
46,pg2102,LPG2102,3739,20,19.00%,￥12.000,1,1.63亿,-1524.48万,14208.2
10,zn2103,沪锌2103,20365,5,14.00%,"开平仓￥6.000,平今免",5,12.96亿,300.95万,14255.5
9,ag2102,沪银2102,5272,15,19.00%,"开平仓1.0000%%,平今免",1,11.62亿,1370.51万,15025.2
51,CY105,棉纱2105,22075,5,14.00%,"开平仓￥8.000,平今免",5,9451.41万,-31.22万,15452.5
36,jm2105,焦煤2105,1663.5,60,19.00%,"开仓平今1.8000%%,平仓1.2000%%",0.5,17.03亿,-2.18亿,18963.9
24,nr2103,20号胶2103,10885,10,18.00%,￥9.000,5,5.45亿,-607.36万,19593
6,TS2103,债二2103,100.415,20000,1.00%,"开平仓￥6.000,平今免",0.005,4.97亿,-343.49万,20083
18,ni2103,沪镍2103,134420,1,15.00%,￥12.000,10,41.51亿,1.44亿,20163
